name,pca2_mean,pca2_std,pca2_entropy,pca2_ggd1,pca2_ggd2,pca2_aggd1,pca2_aggd2,pca2_aggd3,pca2_aggd4,pca2_gamma1,pca2_gamma2,omni_mean,omni_std,omni_entropy,omni_ggd1,omni_ggd2,omni_aggd1,omni_aggd2,omni_aggd3,omni_aggd4,omni_gamma1,omni_gamma2,egen_mean,egen_std,egen_entropy,egen_ggd1,egen_ggd2,egen_aggd1,egen_aggd2,egen_aggd3,egen_aggd4,egen_gamma1,egen_gamma2,vert_mean,vert_std,vert_entropy,uniformity
pumpkingsigma4tsigma32,0.54215115,0.07343087,6.896380294455344,10.000000000000007,0.54710114,2.272000000000002,0.1597674141933764,0.9031498,1.1007174,54.5109476563166,0.009945729652389919,2.5318468,1.0455412,5.954604501663656,10.000000000000007,2.7392344,1.2400000000000009,0.47259880381212627,0.69692725,1.3339962,5.8639854025482805,0.4317621434043942,-11.536016892566694,9.031821570483508,5.409857895127412,1.7930000000000013,14.65105540910569,0.9600000000000006,-0.6164041055202709,1.472766319726046,0.5918965929285881,1.6314035327223788,-7.071222209085295,0.48801306,0.2904589,7.5989654352158915,0.09068110524237795
pumpkingQP3tQP2,0.58437854,0.06965828,4.674235927025971,10.000000000000007,0.5885158,10.000000000000007,0.21269355658356148,0.87890255,1.1260645,70.37901619717104,0.008303305955324624,0.28340644,0.19308804,2.5545907979659472,2.9530000000000025,0.34293163,6.060000000000005,-0.6184844206647736,1.4676125,0.7426288,2.1543133712912663,0.13155302434631483,-0.2140299555191781,3.16511697853587,0.8958376188515921,0.2,3.172344477179554,0.2,-0.5009848817092725,2.1120718729299353,0.11510259165283838,0.004572669369954845,-46.80634837180272,0.4315058,0.34867623,5.268751992112596,0.0911005502724364
pumpkingQP1tQP2,0.58276534,0.06300587,4.894017638650051,10.000000000000007,0.58616143,10.000000000000007,0.13842143584718,0.92060405,1.0814576,85.55110301779132,0.006811897962558374,0.31756192,0.14954016,2.6346052395028052,10.000000000000007,0.3510097,1.300000000000001,-1.1790149388248001,2.123272,0.5483332,4.509634456344656,0.07041854724588496,-0.0561622639783327,0.8861167643162544,1.9951070998766895,0.24600000000000005,0.8878945559174437,0.2790000000000001,-0.5075836020512002,1.735809397463645,0.33731082287317177,0.004017052574738344,-13.980963139869013,0.42287588,0.32306582,5.6512680201273024,0.09107300937881439
pumpkingQP1tQP1,0.58276534,0.06300587,4.894017638650051,10.000000000000007,0.58616143,10.000000000000007,0.13842143584718,0.92060405,1.0814576,85.55110301779132,0.006811897962558374,0.31756192,0.14954016,2.6346052395028052,10.000000000000007,0.3510097,1.300000000000001,-1.1790149388248001,2.123272,0.5483332,4.509634456344656,0.07041854724588496,-0.0561622639783327,0.8861167643162544,1.9951070998766895,0.24600000000000005,0.8878945559174437,0.2790000000000001,-0.5075836020512002,1.735809397463645,0.33731082287317177,0.004017052574738344,-13.980963139869013,0.42287588,0.32306582,5.6512680201273024,0.09133053701531485
pumpkinlevel8,0.5955964,0.050880287,6.62353377703501,10.000000000000007,0.59776574,2.279000000000002,0.19370566437341658,0.88239866,1.1218626,137.02727320480426,0.0043465534301352,2.159829,0.4184926,6.122475441240633,10.000000000000007,2.1999986,1.438000000000001,0.14098834722689446,0.9086815,1.0936782,26.63576609777465,0.08108754392209244,-45.40712395566772,8.980378426405734,6.546824068042923,10.000000000000007,46.28664727441558,1.465000000000001,-0.18600024141988247,1.1246783828621825,0.881369971592674,25.565882970652932,-1.7760827587214782,0.41146344,0.28516945,7.536916983456741,0.07946506467384097
pumpkingsigma4tsigma8,0.5421601,0.073359855,6.980199964247665,10.000000000000007,0.5471007,2.273000000000002,0.15885724449149252,0.90373427,1.100168,54.61834242576538,0.00992633715430987,2.531678,1.0481731,6.009696696347258,10.000000000000007,2.7400844,1.2400000000000009,0.475789171161695,0.6952505,1.3366201,5.833796803408461,0.4339674325621889,-11.540628376845529,9.063950935302257,5.548148807932835,1.7770000000000012,14.674510125678351,0.9590000000000007,-0.6189660772354201,1.4752896064505163,0.5905177094780429,1.6211535479327135,-7.118775634523997,0.48736548,0.29048365,7.598852646802244,0.08702382172141834
pumpkintsl6tqs256,0.53306675,0.047713798,4.578446426203824,10.000000000000007,0.53519773,1.9250000000000014,0.2730929981472574,0.82255924,1.1663562,124.81746071546604,0.0042707705300912445,0.351659,0.06688846,3.378681221270776,10.000000000000007,0.35796404,0.37000000000000016,-0.586661753630115,1.6651175,0.3800752,27.640199984747596,0.012722736956213992,0.7284696289255914,0.19513835247207892,4.522297841164713,10.000000000000007,0.7541531439608808,0.9340000000000006,-0.6130515133920714,1.4988832580459517,0.6164037958937392,13.935988289428247,0.05227254887105523,0.41600096,0.2828238,5.396969227321132,0.0908987593652238
pumpkintsl6tqs512,0.53306675,0.047713798,4.578446426203824,10.000000000000007,0.53519773,1.9250000000000014,0.2730929981472574,0.82255924,1.1663562,124.81746071546604,0.0042707705300912445,0.351659,0.06688846,3.378681221270776,10.000000000000007,0.35796404,0.37000000000000016,-0.586661753630115,1.6651175,0.3800752,27.640199984747596,0.012722736956213992,0.7284696289255914,0.19513835247207892,4.522297841164713,10.000000000000007,0.7541531439608808,0.9340000000000006,-0.6130515133920714,1.4988832580459517,0.6164037958937392,13.935988289428247,0.05227254887105523,0.41600096,0.2828238,5.396969227321132,0.0907131687808711
pumpkintsl6tqs64,0.53306675,0.047713798,4.578446426203824,10.000000000000007,0.53519773,1.9250000000000014,0.2730929981472574,0.82255924,1.1663562,124.81746071546604,0.0042707705300912445,0.351659,0.06688846,3.378681221270776,10.000000000000007,0.35796404,0.37000000000000016,-0.586661753630115,1.6651175,0.3800752,27.640199984747596,0.012722736956213992,0.7284696289255914,0.19513835247207892,4.522297841164713,10.000000000000007,0.7541531439608808,0.9340000000000006,-0.6130515133920714,1.4988832580459517,0.6164037958937392,13.935988289428247,0.05227254887105523,0.41600096,0.2828238,5.396969227321132,0.0912064034483696
pumpkinpqs1qs16rounded,0.5979359,0.055561215,6.797369687505461,10.000000000000007,0.6005117,2.469000000000002,0.16875812450597263,0.8984069,1.105495,115.81537045669756,0.005162837715772391,0.51742786,0.12466022,5.225454890405256,10.000000000000007,0.5322327,0.7860000000000005,-0.29716486746133813,1.2170535,0.76692694,17.2283706326416,0.030033478144545836,-1.2684456573938847,0.692018980920756,5.36788088047807,10.000000000000007,1.444937472151188,1.6700000000000013,-0.1112315115578159,1.0718952160920707,0.9292613310278334,3.359758356167454,-0.3775407404123037,0.41796,0.2954496,7.459617236643863,0.09094394328757938
