name,pca2_mean,pca2_std,pca2_entropy,omni_mean,omni_std,omni_entropy,egen_mean,egen_std,egen_entropy,vert_mean,vert_std,vert_entropy
bag_gQP_2_tQP_3.ply,0.5852725,0.06697672,4.815374481197616,0.30448654,0.17816947,2.8173648462482372,-0.15535449142298358,1.4820205447317372,2.0856993937971833,0.3929815,0.31919026,5.508201748256498
bag_gQP_2_tQP_2.ply,0.5852725,0.06697672,4.815374481197616,0.30448654,0.17816947,2.8173648462482372,-0.15535449142298358,1.4820205447317372,2.0856993937971833,0.3929815,0.31919026,5.508201748256498
bag_gQP_1_tQP_3.ply,0.5812751,0.06389222,5.0418896718083515,0.32314184,0.14959711,2.9384483639089556,-0.05433677481155165,0.6869735709023758,2.1724169667412925,0.38332948,0.2996974,5.786853993508465
bag_gQP_2_tQP_1.ply,0.5852725,0.06697672,4.815374481197616,0.30448654,0.17816947,2.8173648462482372,-0.15535449142298358,1.4820205447317372,2.0856993937971833,0.3929815,0.31919026,5.508201748256498
bag_gQP_3_tQP_1.ply,0.58412635,0.07241907,4.4891880576971985,0.2657873,0.22118849,1.9024857629444218,-0.2508999449916664,2.897531019338783,1.3783948111378643,0.40849668,0.34857258,5.043040991794394
bag_gQP_3_tQP_2.ply,0.58412635,0.07241907,4.4891880576971985,0.2657873,0.22118849,1.9024857629444218,-0.2508999449916664,2.897531019338783,1.3783948111378643,0.40849668,0.34857258,5.043040991794394
bag_gQP_1_tQP_1.ply,0.5812751,0.06389222,5.0418896718083515,0.32314184,0.14959711,2.9384483639089556,-0.05433677481155165,0.6869735709023758,2.1724169667412925,0.38332948,0.2996974,5.786853993508465
bag_gQP_1_tQP_2.ply,0.5812751,0.06389222,5.0418896718083515,0.32314184,0.14959711,2.9384483639089556,-0.05433677481155165,0.6869735709023758,2.1724169667412925,0.38332948,0.2996974,5.786853993508465
bag_gsigma_0_tsigma_8.ply,0.58498853,0.061560247,6.7833601188799815,0.6265937,0.15161894,4.22593170875925,-0.9838130950147056,1.1331128544814137,3.415030176326179,0.3961562,0.27855518,7.5149297627369895
bag_gsigma_0_tsigma_16.ply,0.58498853,0.061560247,6.7833601188799815,0.6265937,0.15161894,4.22593170875925,-0.9838130950147056,1.1331128544814137,3.415030176326179,0.3961562,0.27855518,7.5149297627369895
bag_gsigma_2_tsigma_16.ply,0.5452654,0.07343321,6.956360383101613,1.5220944,0.5078955,5.468590247360849,-4.175871049546661,3.371621838928862,4.605044192052689,0.4684048,0.2900257,7.592751027442491
